tick,y,velX,velY,velZ,onGround,isFall
33458,131.7531999805212,0.08513416069537678,0.24813599859094576,-0.2044266435102125,false,false
33459,132.00133597911216,0.06970021626147109,0.16477328182606651,-0.2083753645299987,false,false
33460,132.1661092609382,0.055655326421845605,0.08307781780646721,-0.21196870076156346,false,false
33461,132.24918707874468,0.04287447629944452,0.0030162615090425808,-0.21523863682652639,false,false
33462,132.25220334025371,0.03062566132439599,-0.07544406518948656,-0.21798958442714045,false,false
33463,132.17675927506423,0.016347783980868502,-0.15233518685055708,-0.21903568892969222,false,false
33464,132.02442408821366,7.021988575306552E-4,-0.22768848754498797,-0.21826674594156376,false,false
33465,131.79673560066868,-0.014761751498791354,-0.30153472366278034,-0.21658415488898605,false,false
33466,131.4952008770059,-0.02922454786546542,-0.3739040364667221,-0.2147105703073876,false,false
33467,131.1212968405392,-0.04267906681961262,-0.4448259643949201,-0.21273819536455651,false,false
33468,131.0,-0.038384487481240195,-0.0784000015258789,-0.2167741283283531,true,false
33469,131.0,-0.020357728119009752,-0.0784000015258789,-0.1879165113428814,true,false
33470,131.0,-0.011682181354194592,-0.0784000015258789,-0.1721605325751024,true,false
33471,131.0,-0.0093852632975412,-0.0784000015258789,-0.16349506119203963,true,false
33472,131.0,-0.011371467854256192,-0.0784000015258789,-0.15854763802456004,true,false
33473,131.0,-0.015385245220950737,-0.0784000015258789,-0.1555195015746666,true,false
33474,131.0,-0.019937541796751116,-0.0784000015258789,-0.15351062949421826,true,false
33475,131.0,-0.02362478573953506,-0.0784000015258789,-0.1522008195609867,true,false
33476,131.41999998688698,-0.04666347004026437,0.33319999363422365,-0.2586444170928009,false,false
33477,131.7531999805212,-0.046644474021635386,0.24813599859094576,-0.25817320784997816,false,false
33478,132.00133597911216,-0.045875067816901705,0.11760000228881837,-0.2578695346523294,false,false
33479,132.11893598140097,-0.04448531565739586,0.03684800296020513,-0.13650000935792939,false,false
33480,132.15578398436116,-0.04234473036370328,-0.042288957922058,-0.13650000935792939,false,false
33481,132.1134950264391,-0.03980684793291713,0.11760000228881837,0.0,false,false
33482,132.2310950287279,-0.03685167503054207,0.11760000228881837,0.0,false,false
33483,132.34869503101672,-0.03343242550112542,0.11760000228881837,0.0,false,false
33484,132.46629503330553,-0.0293963635739794,0.11760000228881837,0.0,false,false
33485,132.58389503559434,-0.024840864429155174,0.11760000228881837,0.0,false,false
33486,132.70149503788315,-0.01918763241105779,0.11760000228881837,0.0,false,false
33487,132.81909504017196,-0.012787765003115317,0.11760000228881837,0.0,false,false
33488,132.93669504246077,-0.006963885494044462,0.11760000228881837,0.0,false,false
33489,133.05429504474958,-0.0016641549880526657,0.03684800296020513,-0.017212964679506417,false,false
33490,133.09114304770978,0.004560494035557609,-0.042288957922058,-0.03804065175190423,false,false
33491,133.0488540897877,0.010224924810290876,-0.11984318109609361,-0.05699384753401407,false,false
33492,133.0,0.015379556963853758,-0.0784000015258789,-0.07424125619280136,true,false
33493,133.41999998688698,0.05523195867495021,0.33319999363422365,-0.21305181298118805,false,false
33494,133.7531999805212,0.05633595896105019,0.24813599859094576,-0.21625400884251272,false,false
33495,134.00133597911216,0.05734059925035473,0.16477328182606651,-0.2191680071602991,false,false
33496,134.1661092609382,0.07242935346548028,0.08307781780646721,-0.21168041499607115,false,false
33497,134.24918707874468,0.08283380962102707,0.0030162615090425808,-0.20916412421549269,false,false
33498,134.25220334025371,0.08551112322282076,-0.07544406518948656,-0.21171997790623284,false,false
33499,134.17675927506423,0.09154704880110852,-0.15233518685055708,-0.20404750300934324,false,false
33500,134.02442408821366,0.09283847369616259,-0.22768848754498797,-0.20075935611973822,false,false
33501,133.79673560066868,0.0894161913540337,-0.30153472366278034,-0.1998312259328916,false,false
33502,133.4952008770059,0.09467688670765188,-0.3739040364667221,-0.19426145553247706,false,false
33503,133.1212968405392,0.09678352128574837,-0.4448259643949201,-0.19155274222198299,false,false
33504,133.0,0.081695419717619,-0.0784000015258789,-0.19096980949614545,true,false
