tick,x,y,z,velX,velY,velZ,onGround,isFall
184,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
185,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
186,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
187,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
188,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
189,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
190,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
191,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
192,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
193,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
194,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
195,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
196,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
197,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
198,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
199,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
200,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
201,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
202,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
203,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
204,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
205,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
206,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
207,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
208,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
209,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
210,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
211,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
212,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
213,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
214,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
215,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
216,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
217,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
218,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
219,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
220,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
221,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
222,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
223,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
224,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
225,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
226,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
227,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
228,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
229,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
230,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
231,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
232,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
